id,dim1,dim2,label,p_x,p_x_0,p_x_1,p_x_2,p_x_3,p_x_4,p_x_5,p_x_6,p_x_7,p_x_8,p_x_9
0.000000000000000000e+00,-5.934136390686035156e+00,-2.020584106445312500e+00,3.000000000000000000e+00,1.018713507801294327e-02,9.972101543098688126e-05,1.176865072920918465e-03,7.246201130328699946e-05,9.950723648071289062e-01,1.195959281176328659e-03,1.216060409205965698e-04,4.327826900407671928e-04,9.861883881967514753e-05,6.882544839754700661e-04,1.041414681822061539e-03
1.000000000000000000e+00,-5.285443305969238281e+00,8.487902641296386719e+00,8.000000000000000000e+00,1.034501101821660995e-02,5.738607142120599747e-04,1.360115245915949345e-03,8.821960364002734423e-05,6.976575241424143314e-04,1.105216797441244125e-04,4.763380638905800879e-05,3.643467425717972219e-05,2.167632737837266177e-05,9.969950318336486816e-01,6.883205060148611665e-05
2.000000000000000000e+00,-4.910157203674316406e+00,8.227667808532714844e+00,8.000000000000000000e+00,8.594402112066745758e-03,7.671801722608506680e-04,2.003645058721303940e-03,1.168505696114152670e-04,9.170307312160730362e-04,1.460548664908856153e-04,6.252605817280709743e-05,4.607699156622402370e-05,2.781068360491190106e-05,9.958282113075256348e-01,8.463268022751435637e-05
3.000000000000000000e+00,5.623051643371582031e+00,1.106603050231933594e+01,0.000000000000000000e+00,1.047832146286964417e-02,9.967033863067626953e-01,1.395860570482909679e-03,9.947610087692737579e-04,9.888154454529285431e-05,8.146204345393925905e-05,1.021005155052989721e-04,1.774291376932524145e-05,2.298571962455753237e-05,5.656364373862743378e-04,1.697247171250637621e-05
4.000000000000000000e+00,-4.059085845947265625e+00,-1.392003154754638672e+01,6.000000000000000000e+00,1.054629031568765640e-02,1.751341187627986073e-05,8.476673247059807181e-05,2.730447704379912466e-05,4.369484377093613148e-04,1.110929413698613644e-03,1.172917691292241216e-04,9.964333176612854004e-01,6.156110903248190880e-04,3.470968658803030849e-05,1.121625187806785107e-03
5.000000000000000000e+00,-4.051840305328369141e+00,-1.390682697296142578e+01,6.000000000000000000e+00,1.054247748106718063e-02,1.755855555529706180e-05,8.507497841492295265e-05,2.738071452768053859e-05,4.388436209410429001e-04,1.118135289289057255e-03,1.176947625936008990e-04,9.964209794998168945e-01,6.174072623252868652e-04,3.480043596937321126e-05,1.122125540859997272e-03
6.000000000000000000e+00,1.864001154899597168e+00,3.012725353240966797e+00,1.000000000000000000e+00,1.039701048284769058e-02,1.347894663922488689e-03,9.937487840652465820e-01,7.961931987665593624e-04,1.231624162755906582e-03,9.366243612021207809e-04,4.265612806193530560e-04,8.806279220152646303e-05,9.212348959408700466e-05,1.257738796994090080e-03,7.457253377651795745e-05
7.000000000000000000e+00,-4.083563327789306641e+00,-1.395242118835449219e+01,6.000000000000000000e+00,1.054188888520002365e-02,1.741977757774293423e-05,8.408539724769070745e-05,2.713373396545648575e-05,4.330318770371377468e-04,1.092962222173810005e-03,1.163017150247469544e-04,9.964594244956970215e-01,6.105509237386286259e-04,3.453536555753089488e-05,1.124520553275942802e-03
8.000000000000000000e+00,-5.929132938385009766e+00,-2.028707742691040039e+00,3.000000000000000000e+00,1.021155714988708496e-02,9.941861935658380389e-05,1.173899741843342781e-03,7.232239295262843370e-05,9.950792193412780762e-01,1.197328441776335239e-03,1.215060983668081462e-04,4.329851362854242325e-04,9.858798875939100981e-05,6.846598698757588863e-04,1.040145871229469776e-03
9.000000000000000000e+00,1.867223262786865234e+00,3.021079063415527344e+00,1.000000000000000000e+00,1.040465198457241058e-02,1.352098770439624786e-03,9.937531948089599609e-01,7.967891287989914417e-04,1.226913416758179665e-03,9.328681626357138157e-04,4.257380787748843431e-04,8.782449731370434165e-05,9.190968557959422469e-05,1.258224248886108398e-03,7.439243199769407511e-05
