id,dim1,dim2,label,p_x,p_x_0,p_x_1,p_x_2,p_x_3,p_x_4,p_x_5,p_x_6,p_x_7,p_x_8,p_x_9
0.000000000000000000e+00,3.593792676925659180e+00,-1.161488628387451172e+01,7.000000000000000000e+00,1.050144433975219727e-02,3.656748594949021935e-05,4.527699784375727177e-04,1.501783553976565599e-04,3.907619611709378660e-05,1.125506241805851460e-03,2.029486931860446930e-03,1.105868490412831306e-03,9.948532581329345703e-01,6.360132829286158085e-05,1.437809114577248693e-04
1.000000000000000000e+00,1.058040142059326172e+01,2.419912815093994141e+00,2.000000000000000000e+00,1.058804336935281754e-02,2.369330264627933502e-03,2.475254703313112259e-03,9.931582808494567871e-01,7.144554547267034650e-05,1.771048991940915585e-04,9.889474604278802872e-04,4.081232327735051513e-05,1.506958651589229703e-04,5.004973500035703182e-04,6.769517494831234217e-05
2.000000000000000000e+00,3.304702520370483398e+00,1.462726294994354248e-01,1.000000000000000000e+00,1.050894893705844879e-02,5.093115614727139473e-04,9.901350736618041992e-01,2.547712530940771103e-03,3.067107172682881355e-04,2.462471835315227509e-03,8.169546490535140038e-04,1.773629337549209595e-04,4.762878234032541513e-04,2.075951546430587769e-03,4.923120141029357910e-04
3.000000000000000000e+00,9.242857933044433594e+00,1.014212036132812500e+01,0.000000000000000000e+00,1.019823737442493439e-02,9.956291317939758301e-01,4.994471673853695393e-04,2.315125428140163422e-03,1.088506542146205902e-04,7.249331247294321656e-05,1.012854336295276880e-04,1.879149385786149651e-05,3.735081554623320699e-05,1.166758709587156773e-03,5.078326285001821816e-05
4.000000000000000000e+00,-2.675613880157470703e+00,-4.639749526977539062e+00,4.000000000000000000e+00,1.067493855953216553e-02,7.058044138830155134e-05,2.309757517650723457e-03,1.765950291883200407e-04,3.150978882331401110e-04,9.888731241226196289e-01,2.857964718714356422e-04,2.256051171571016312e-03,1.137395971454679966e-03,3.544399514794349670e-04,4.221146926283836365e-03
5.000000000000000000e+00,3.297469615936279297e+00,1.384392529726028442e-01,1.000000000000000000e+00,1.050177775323390961e-02,5.078451358713209629e-04,9.901298284530639648e-01,2.537626074627041817e-03,3.070831589866429567e-04,2.477136207744479179e-03,8.177313138730823994e-04,1.779819140210747719e-04,4.778403381351381540e-04,2.072875853627920151e-03,4.939837381243705750e-04
6.000000000000000000e+00,-2.663307428359985352e+00,-4.487598419189453125e+00,4.000000000000000000e+00,1.053302641957998276e-02,7.345877384068444371e-05,2.464873949065804482e-03,1.829052198445424438e-04,3.328636230435222387e-04,9.885919094085693359e-01,2.880664542317390442e-04,2.131039509549736977e-03,1.103698741644620895e-03,3.766980371437966824e-04,4.454483278095722198e-03
7.000000000000000000e+00,-8.217537879943847656e+00,-1.135218977928161621e+00,9.000000000000000000e+00,1.059282943606376648e-02,4.922118750982917845e-05,4.735126567538827658e-04,6.821412534918636084e-05,1.655934494920074940e-03,4.283584654331207275e-03,6.217200279934331775e-05,6.136443698778748512e-04,1.466355606680735946e-04,4.031222779303789139e-04,9.922439455986022949e-01
8.000000000000000000e+00,1.045040512084960938e+01,-7.232365131378173828e+00,5.000000000000000000e+00,1.030474808067083359e-02,1.032576183206401765e-04,7.918630144558846951e-04,1.014609704725444317e-03,3.221824954380281270e-05,2.870778262149542570e-04,9.955162405967712402e-01,1.132373436121270061e-04,1.989967189729213715e-03,8.925502334022894502e-05,6.223084346856921911e-05
9.000000000000000000e+00,-8.337697029113769531e+00,-1.079991221427917480e+00,9.000000000000000000e+00,1.050777733325958252e-02,4.893855293630622327e-05,4.595646169036626816e-04,6.724446575390174985e-05,1.704471302218735218e-03,4.010697361081838608e-03,6.102477345848456025e-05,6.009251810610294342e-04,1.432021817890927196e-04,4.004724323749542236e-04,9.925034642219543457e-01
